1000MERCIS,1000mercis
HUIS CLOS,huisclos
HYBRIGENICS,hybrigenics
HYPARLO,hyparlo
I2S,i2s
ICADE,icade
IDEAL MEDICAL PRODUCTS,idealmedicalproducts
IDI,idi
IDS,ids
IDSUD,idsud
IEC PROFESSIONNEL MEDIA,iecprofessionnelmedia
IGE XAO,igexao
ILIAD,iliad
ILOG,ilog
IMERYS,imerys
IMMOBILIERE DASSAULT,immobilieredassault
IMS,ims
INDEX MULTIMEDIA,indexmultimedia
INFO VISTA,infovista
INFOGRAMES,infogrames
INFOTEL,infotel
ING BANK N.V,ingbanknv
INGENICO,ingenico
INITIATIVE & FINANCE INVESTISSEMENT,initiativefinanceinvestissement
INNATE PHARMA,innatepharma
INNELEC MULTIMEDIA,innelecmultimedia
INTEGRAGEN,integragen
INTERCALL,intercall
INTERNATIONAL TECHNOLOGIE SELECTION,internationaltechnologieselection
INTERPARFUMS,interparfums
INTRASENSE,intrasense
IPBM,ipbm
IPO,ipo
IPSEN SA,ipsensa
IPSOGEN,ipsogen
IPSOS,ipsos
IT LINK,itlink
ITESOFT,itesoft
ITS GROUP,itsgroup
JACQUET METALS,jacquetmetals
JCDECAUX SA,jcdecauxsa
JEANJEAN,jeanjean
JET MULTI MEDIA,jetmultimedia
KAUFMAN & BROAD SA,kaufmanbroadsa
KBC INTERNATIONALE FINANCIERINGSMAATSCHAPPIJ NV,kbcinternationalefinancieringsmaatschappijnv
KERING,kering
KEYRUS,keyrus
KIMOCE SA,kimocesa
KINDY,kindy
KINGFISHER PLC,kingfisherplc
KLEMURS,klemurs
KLEPIERRE,klepierre
KLM ROYAL DUTCH AIRLINES,klmroyaldutchairlines
KOMMUNALBANKEN AS,kommunalbankenas
KORIAN,korian
L'OREAL,loreal
LA BANQUE POSTALE,labanquepostale
LA CHAUSSERIA,lachausseria
LA POSTE,laposte
LABORATOIRE NPC,laboratoirenpc
LACIE,lacie
LACROIX,lacroix
